"Sample","SpectrumFilename","PeakNumber","RetentionTime1D_s","RetentionTime2D_s","SignalNoise","Area","QuantMasses"
"Sample 2","Spectrum 1",1,1348.57,1.076,171.81,80384,251
"Sample 2","Spectrum 3",3,1541.58,1.653,344.12,123714,243
