PeakNumber,RetentionTime1D_s,RetentionTime2D_s,SignalNoise,Area,QuantMasses
1,1348.57,1.076,171.81,80384,251
2,1383.55,1.888,69.372,82356,75
3,1541.58,1.653,344.12,123714,243
