mz,intensity,percent,DistributionLabel,PeakNumber
561.63,1289,51.33,Br3Cl5,-3
562.63,192,7.65,Br3Cl5,-2
563.63,2434,96.93,Br3Cl5,-1
564.63,311,12.39,Br3Cl5,0
565.62,2511,100,Br3Cl5,1
566.63,316,12.58,Br3Cl5,2
567.62,1517,60.41,Br3Cl5,3
568.62,207,8.24,Br3Cl5,4
569.62,611,24.33,Br3Cl5,5
570.62,88,3.5,Br3Cl5,6
571.62,132,5.26,Br3Cl5,7
572.62,23,0.92,Br3Cl5,8
573.61,19,0.76,Br3Cl5,9
574.63,1,0.04,Br3Cl5,10
575.61,1,0.04,Br3Cl5,11
NA,0,0,Br3Cl5,12
NA,0,0,Br3Cl5,13
NA,0,0,Br3Cl5,14
NA,0,0,Br4Cl1,-9
NA,0,0,Br4Cl1,-8
NA,0,0,Br4Cl1,-7
NA,0,0,Br4Cl1,-6
NA,0,0,Br4Cl1,-5
NA,0,0,Br4Cl1,-4
501.7,472,15.67,Br4Cl1,-3
502.7,64,2.12,Br4Cl1,-2
503.69,1835,60.92,Br4Cl1,-1
504.7,242,8.03,Br4Cl1,0
505.69,3012,100,Br4Cl1,1
506.7,409,13.58,Br4Cl1,2
507.69,2411,80.05,Br4Cl1,3
508.69,328,10.89,Br4Cl1,4
509.69,971,32.24,Br4Cl1,5
510.69,129,4.28,Br4Cl1,6
511.69,104,3.45,Br4Cl1,7
512.69,22,0.73,Br4Cl1,8
513.69,1,0.03,Br4Cl1,9
NA,0,0,Br4Cl1,10
NA,0,0,Br4Cl1,11
NA,0,0,Br4Cl1,12
NA,0,0,Br4Cl1,13
NA,0,0,Br4Cl1,14
NA,0,0,Br4Cl2,-9
NA,0,0,Br4Cl2,-8
NA,0,0,Br4Cl2,-7
NA,0,0,Br4Cl2,-6
NA,0,0,Br4Cl2,-5
NA,0,0,Br4Cl2,-4
535.66,329,11.78,Br4Cl2,-3
536.66,50,1.79,Br4Cl2,-2
537.66,1527,54.69,Br4Cl2,-1
538.66,184,6.59,Br4Cl2,0
539.65,2792,100,Br4Cl2,1
540.66,338,12.11,Br4Cl2,2
541.65,2639,94.52,Br4Cl2,3
542.65,299,10.71,Br4Cl2,4
543.65,1291,46.24,Br4Cl2,5
544.65,157,5.62,Br4Cl2,6
545.65,315,11.28,Br4Cl2,7
546.65,45,1.61,Br4Cl2,8
547.64,32,1.15,Br4Cl2,9
548.65,2,0.07,Br4Cl2,10
NA,0,0,Br4Cl2,11
NA,0,0,Br4Cl2,12
NA,0,0,Br4Cl2,13
NA,0,0,Br4Cl2,14
NA,0,0,Br4Cl3,-9
NA,0,0,Br4Cl3,-8
NA,0,0,Br4Cl3,-7
NA,0,0,Br4Cl3,-6
569.62,251,9.69,Br4Cl3,-5
570.62,33,1.27,Br4Cl3,-4
571.62,1256,48.48,Br4Cl3,-3
572.62,160,6.18,Br4Cl3,-2
573.61,2483,95.83,Br4Cl3,-1
574.62,326,12.58,Br4Cl3,0
575.61,2591,100,Br4Cl3,1
576.62,361,13.93,Br4Cl3,2
577.61,1587,61.25,Br4Cl3,3
578.61,202,7.8,Br4Cl3,4
579.61,547,21.11,Br4Cl3,5
580.61,79,3.05,Br4Cl3,6
581.61,99,3.82,Br4Cl3,7
582.61,14,0.54,Br4Cl3,8
583.6,10,0.39,Br4Cl3,9
584.61,1,0.04,Br4Cl3,10
NA,0,0,Br4Cl3,11
NA,0,0,Br4Cl3,12
NA,0,0,Br4Cl3,13
NA,0,0,Br4Cl3,14
NA,0,0,Br4Cl4,-9
NA,0,0,Br4Cl4,-8
NA,0,0,Br4Cl4,-7
NA,0,0,Br4Cl4,-6
603.58,175,6.76,Br4Cl4,-5
604.58,33,1.28,Br4Cl4,-4
605.58,961,37.15,Br4Cl4,-3
606.58,148,5.72,Br4Cl4,-2
607.58,2161,83.53,Br4Cl4,-1
608.58,283,10.94,Br4Cl4,0
609.57,2587,100,Br4Cl4,1
610.58,341,13.18,Br4Cl4,2
611.57,1848,71.43,Br4Cl4,3
612.57,228,8.81,Br4Cl4,4
613.57,850,32.86,Br4Cl4,5
614.57,93,3.59,Br4Cl4,6
615.57,219,8.47,Br4Cl4,7
616.57,27,1.04,Br4Cl4,8
617.56,39,1.51,Br4Cl4,9
618.57,4,0.15,Br4Cl4,10
619.56,2,0.08,Br4Cl4,11
620.56,1,0.04,Br4Cl4,12
NA,0,0,Br4Cl4,13
NA,0,0,Br4Cl4,14
NA,0,0,Br4Cl5,-9
NA,0,0,Br4Cl5,-8
NA,0,0,Br4Cl5,-7
NA,0,0,Br4Cl5,-6
637.54,159,6.2,Br4Cl5,-5
638.54,15,0.58,Br4Cl5,-4
639.54,742,28.92,Br4Cl5,-3
640.54,104,4.05,Br4Cl5,-2
641.54,1896,73.89,Br4Cl5,-1
642.54,232,9.04,Br4Cl5,0
643.53,2566,100,Br4Cl5,1
644.54,320,12.47,Br4Cl5,2
645.53,1969,76.73,Br4Cl5,3
646.53,268,10.44,Br4Cl5,4
647.53,1086,42.32,Br4Cl5,5
648.53,111,4.33,Br4Cl5,6
649.53,376,14.65,Br4Cl5,7
650.53,59,2.3,Br4Cl5,8
651.52,80,3.12,Br4Cl5,9
652.53,5,0.19,Br4Cl5,10
653.52,11,0.43,Br4Cl5,11
654.52,1,0.04,Br4Cl5,12
NA,0,0,Br4Cl5,13
NA,0,0,Br4Cl5,14
NA,0,0,Br5Cl1,-9
NA,0,0,Br5Cl1,-8
NA,0,0,Br5Cl1,-7
NA,0,0,Br5Cl1,-6
579.61,199,7.15,Br5Cl1,-5
580.61,30,1.08,Br5Cl1,-4
581.61,1191,42.78,Br5Cl1,-3
582.61,144,5.17,Br5Cl1,-2
583.6,2453,88.11,Br5Cl1,-1
584.61,313,11.24,Br5Cl1,0
585.6,2784,100,Br5Cl1,1
586.6,359,12.9,Br5Cl1,2
587.6,1679,60.31,Br5Cl1,3
588.6,206,7.4,Br5Cl1,4
589.6,514,18.46,Br5Cl1,5
590.6,59,2.12,Br5Cl1,6
591.6,65,2.33,Br5Cl1,7
592.6,4,0.14,Br5Cl1,8
NA,0,0,Br5Cl1,9
NA,0,0,Br5Cl1,10
NA,0,0,Br5Cl1,11
NA,0,0,Br5Cl1,12
NA,0,0,Br5Cl1,13
NA,0,0,Br5Cl1,14
NA,0,0,Br5Cl2,-9
NA,0,0,Br5Cl2,-8
NA,0,0,Br5Cl2,-7
NA,0,0,Br5Cl2,-6
613.57,209,8.03,Br5Cl2,-5
614.57,26,1,Br5Cl2,-4
615.57,906,34.79,Br5Cl2,-3
616.57,121,4.65,Br5Cl2,-2
617.56,2158,82.87,Br5Cl2,-1
618.57,283,10.87,Br5Cl2,0
619.56,2604,100,Br5Cl2,1
620.57,330,12.67,Br5Cl2,2
621.56,2032,78.03,Br5Cl2,3
622.56,229,8.79,Br5Cl2,4
623.56,783,30.07,Br5Cl2,5
624.56,99,3.8,Br5Cl2,6
625.56,173,6.64,Br5Cl2,7
626.56,28,1.08,Br5Cl2,8
627.55,17,0.65,Br5Cl2,9
628.56,1,0.04,Br5Cl2,10
629.56,1,0.04,Br5Cl2,11
NA,0,0,Br5Cl2,12
NA,0,0,Br5Cl2,13
NA,0,0,Br5Cl2,14
NA,0,0,Br5Cl3,-9
NA,0,0,Br5Cl3,-8
NA,0,0,Br5Cl3,-7
NA,0,0,Br5Cl3,-6
647.53,121,4.72,Br5Cl3,-5
648.53,18,0.7,Br5Cl3,-4
649.53,726,28.35,Br5Cl3,-3
650.53,87,3.4,Br5Cl3,-2
651.53,1886,73.64,Br5Cl3,-1
652.53,271,10.58,Br5Cl3,0
653.52,2561,100,Br5Cl3,1
654.53,334,13.04,Br5Cl3,2
655.52,2060,80.44,Br5Cl3,3
656.52,279,10.89,Br5Cl3,4
657.52,1103,43.07,Br5Cl3,5
658.52,136,5.31,Br5Cl3,6
659.52,299,11.68,Br5Cl3,7
660.52,40,1.56,Br5Cl3,8
661.51,64,2.5,Br5Cl3,9
662.52,11,0.43,Br5Cl3,10
663.51,4,0.16,Br5Cl3,11
NA,0,0,Br5Cl3,12
NA,0,0,Br5Cl3,13
NA,0,0,Br5Cl3,14
NA,0,0,Br5Cl4,-9
NA,0,0,Br5Cl4,-8
NA,0,0,Br5Cl4,-7
NA,0,0,Br5Cl4,-6
681.49,98,4.15,Br5Cl4,-5
682.49,14,0.59,Br5Cl4,-4
683.49,557,23.58,Br5Cl4,-3
684.49,76,3.22,Br5Cl4,-2
685.49,1613,68.29,Br5Cl4,-1
686.49,219,9.27,Br5Cl4,0
687.48,2362,100,Br5Cl4,1
688.49,317,13.42,Br5Cl4,2
689.48,2239,94.79,Br5Cl4,3
690.48,291,12.32,Br5Cl4,4
691.48,1321,55.93,Br5Cl4,5
692.48,177,7.49,Br5Cl4,6
693.48,504,21.34,Br5Cl4,7
694.48,76,3.22,Br5Cl4,8
695.47,96,4.06,Br5Cl4,9
696.48,18,0.76,Br5Cl4,10
697.47,19,0.8,Br5Cl4,11
698.47,3,0.13,Br5Cl4,12
NA,0,0,Br5Cl4,13
NA,0,0,Br5Cl4,14
NA,0,0,Br5Cl5,-9
NA,0,0,Br5Cl5,-8
715.45,66,2.95,Br5Cl5,-7
716.45,10,0.45,Br5Cl5,-6
717.45,452,20.2,Br5Cl5,-5
718.45,60,2.68,Br5Cl5,-4
719.45,1395,62.33,Br5Cl5,-3
720.45,160,7.15,Br5Cl5,-2
721.44,2179,97.36,Br5Cl5,-1
722.45,287,12.82,Br5Cl5,0
723.44,2238,100,Br5Cl5,1
724.45,313,13.99,Br5Cl5,2
725.44,1534,68.54,Br5Cl5,3
726.44,202,9.03,Br5Cl5,4
727.44,709,31.68,Br5Cl5,5
728.44,78,3.49,Br5Cl5,6
729.44,231,10.32,Br5Cl5,7
730.44,33,1.47,Br5Cl5,8
731.43,46,2.06,Br5Cl5,9
732.43,2,0.09,Br5Cl5,10
733.43,3,0.13,Br5Cl5,11
734.43,2,0.09,Br5Cl5,12
NA,0,0,Br5Cl5,13
NA,0,0,Br5Cl5,14
