mz,intensity,percent,DistributionLabel,PeakNumber
874.28,14,0.64,Br9,10
875.27,23,1.05,Br9,11
877.28,1,0.05,Br9,12
NA,0,0,Br9,13
NA,0,0,Br9,14
935.2,10,0.46,Br10,-9
936.2,2,0.09,Br10,-8
937.2,89,4.13,Br10,-7
938.2,15,0.7,Br10,-6
939.19,436,20.23,Br10,-5
940.2,57,2.65,Br10,-4
941.19,1115,51.74,Br10,-3
942.2,129,5.99,Br10,-2
943.19,1893,87.84,Br10,-1
944.19,234,10.86,Br10,0
945.19,2155,100,Br10,1
946.19,288,13.36,Br10,2
947.19,1725,80.05,Br10,3
948.19,233,10.81,Br10,4
949.18,961,44.59,Br10,5
950.19,138,6.4,Br10,6
951.18,373,17.31,Br10,7
952.19,40,1.86,Br10,8
953.18,87,4.04,Br10,9
954.18,13,0.6,Br10,10
955.18,6,0.28,Br10,11
956.18,1,0.05,Br10,12
NA,0,0,Br10,13
NA,0,0,Br10,14
NA,0,0,Cl1,-9
NA,0,0,Cl1,-8
NA,0,0,Cl1,-7
NA,0,0,Cl1,-6
NA,0,0,Cl1,-5
NA,0,0,Cl1,-4
NA,0,0,Cl1,-3
NA,0,0,Cl1,-2
NA,0,0,Cl1,-1
NA,0,0,Cl1,0
190.05,6588,100,Cl1,1
191.06,867,13.16,Cl1,2
192.05,2276,34.55,Cl1,3
193.06,258,3.92,Cl1,4
194.06,11,0.17,Cl1,5
NA,0,0,Cl1,6
NA,0,0,Cl1,7
NA,0,0,Cl1,8
NA,0,0,Cl1,9
NA,0,0,Cl1,10
NA,0,0,Cl1,11
NA,0,0,Cl1,12
NA,0,0,Cl1,13
NA,0,0,Cl1,14
NA,0,0,Cl2,-9
NA,0,0,Cl2,-8
NA,0,0,Cl2,-7
NA,0,0,Cl2,-6
NA,0,0,Cl2,-5
NA,0,0,Cl2,-4
NA,0,0,Cl2,-3
NA,0,0,Cl2,-2
NA,0,0,Cl2,-1
NA,0,0,Cl2,0
224.02,5106,100,Cl2,1
225.02,637,12.48,Cl2,2
226.01,3249,63.63,Cl2,3
227.02,437,8.56,Cl2,4
228.01,489,9.58,Cl2,5
229.01,75,1.47,Cl2,6
230.02,6,0.12,Cl2,7
231.02,1,0.02,Cl2,8
NA,0,0,Cl2,9
NA,0,0,Cl2,10
NA,0,0,Cl2,11
NA,0,0,Cl2,12
NA,0,0,Cl2,13
NA,0,0,Cl2,14
NA,0,0,Cl3,-9
NA,0,0,Cl3,-8
NA,0,0,Cl3,-7
NA,0,0,Cl3,-6
NA,0,0,Cl3,-5
NA,0,0,Cl3,-4
NA,0,0,Cl3,-3
NA,0,0,Cl3,-2
NA,0,0,Cl3,-1
NA,0,0,Cl3,0
257.98,3791,100,Cl3,1
258.98,535,14.11,Cl3,2
259.97,3738,98.6,Cl3,3
260.98,460,12.13,Cl3,4
261.97,1177,31.05,Cl3,5
262.97,177,4.67,Cl3,6
263.97,111,2.93,Cl3,7
264.97,8,0.21,Cl3,8
265.97,3,0.08,Cl3,9
NA,0,0,Cl3,10
NA,0,0,Cl3,11
NA,0,0,Cl3,12
NA,0,0,Cl3,13
NA,0,0,Cl3,14
NA,0,0,Cl4,-9
NA,0,0,Cl4,-8
NA,0,0,Cl4,-7
NA,0,0,Cl4,-6
NA,0,0,Cl4,-5
NA,0,0,Cl4,-4
NA,0,0,Cl4,-3
NA,0,0,Cl4,-2
291.94,2895,79.84,Cl4,-1
292.94,407,11.22,Cl4,0
293.94,3626,100,Cl4,1
294.94,457,12.6,Cl4,2
295.93,1867,51.49,Cl4,3
296.94,242,6.67,Cl4,4
297.93,424,11.69,Cl4,5
298.93,48,1.32,Cl4,6
299.93,31,0.85,Cl4,7
300.93,2,0.06,Cl4,8
301.93,1,0.03,Cl4,9
NA,0,0,Cl4,10
NA,0,0,Cl4,11
NA,0,0,Cl4,12
NA,0,0,Cl4,13
NA,0,0,Cl4,14
NA,0,0,Cl5,-9
NA,0,0,Cl5,-8
NA,0,0,Cl5,-7
NA,0,0,Cl5,-6
NA,0,0,Cl5,-5
NA,0,0,Cl5,-4
NA,0,0,Cl5,-3
NA,0,0,Cl5,-2
325.9,2113,59.76,Cl5,-1
326.9,304,8.6,Cl5,0
327.9,3536,100,Cl5,1
328.9,485,13.72,Cl5,2
329.89,2323,65.7,Cl5,3
330.9,298,8.43,Cl5,4
331.89,701,19.82,Cl5,5
332.89,108,3.05,Cl5,6
333.89,101,2.86,Cl5,7
334.89,20,0.57,Cl5,8
335.88,11,0.31,Cl5,9
NA,0,0,Cl5,10
NA,0,0,Cl5,11
NA,0,0,Cl5,12
NA,0,0,Cl5,13
NA,0,0,Cl5,14
NA,0,0,Cl6,-9
NA,0,0,Cl6,-8
NA,0,0,Cl6,-7
NA,0,0,Cl6,-6
NA,0,0,Cl6,-5
NA,0,0,Cl6,-4
NA,0,0,Cl6,-3
NA,0,0,Cl6,-2
359.86,1678,52.77,Cl6,-1
360.86,224,7.04,Cl6,0
361.86,3180,100,Cl6,1
362.86,405,12.74,Cl6,2
363.85,2612,82.14,Cl6,3
364.86,320,10.06,Cl6,4
365.85,1099,34.56,Cl6,5
366.85,138,4.34,Cl6,6
367.85,261,8.21,Cl6,7
368.85,31,0.97,Cl6,8
369.85,45,1.42,Cl6,9
370.85,5,0.16,Cl6,10
371.84,2,0.06,Cl6,11
NA,0,0,Cl6,12
NA,0,0,Cl6,13
NA,0,0,Cl6,14
NA,0,0,Cl7,-9
NA,0,0,Cl7,-8
NA,0,0,Cl7,-7
NA,0,0,Cl7,-6
NA,0,0,Cl7,-5
NA,0,0,Cl7,-4
NA,0,0,Cl7,-3
NA,0,0,Cl7,-2
393.82,1236,44.13,Cl7,-1
394.82,183,6.53,Cl7,0
395.82,2801,100,Cl7,1
396.82,373,13.32,Cl7,2
397.82,2755,98.36,Cl7,3
398.82,333,11.89,Cl7,4
399.81,1492,53.27,Cl7,5
400.82,172,6.14,Cl7,6
401.81,479,17.1,Cl7,7
402.81,70,2.5,Cl7,8
403.81,86,3.07,Cl7,9
404.81,8,0.29,Cl7,10
405.8,11,0.39,Cl7,11
406.82,1,0.04,Cl7,12
NA,0,0,Cl7,13
NA,0,0,Cl7,14
NA,0,0,Cl8,-9
NA,0,0,Cl8,-8
NA,0,0,Cl8,-7
NA,0,0,Cl8,-6
NA,0,0,Cl8,-5
NA,0,0,Cl8,-4
427.78,915,33.36,Cl8,-3
428.79,130,4.74,Cl8,-2
429.78,2494,90.92,Cl8,-1
430.78,324,11.81,Cl8,0
431.78,2743,100,Cl8,1
432.78,361,13.16,Cl8,2
433.77,1781,64.93,Cl8,3
434.78,240,8.75,Cl8,4
435.77,707,25.77,Cl8,5
436.77,92,3.35,Cl8,6
437.77,164,5.98,Cl8,7
438.77,21,0.77,Cl8,8
439.77,23,0.84,Cl8,9
440.77,4,0.15,Cl8,10
441.76,1,0.04,Cl8,11
NA,0,0,Cl8,12
NA,0,0,Cl8,13
NA,0,0,Cl8,14
NA,0,0,Cl9,-9
NA,0,0,Cl9,-8
NA,0,0,Cl9,-7
NA,0,0,Cl9,-6
NA,0,0,Cl9,-5
NA,0,0,Cl9,-4
461.74,702,26.85,Cl9,-3
462.75,98,3.75,Cl9,-2
463.74,2068,79.08,Cl9,-1
464.74,280,10.71,Cl9,0
465.74,2615,100,Cl9,1
466.74,323,12.35,Cl9,2
467.73,2114,80.84,Cl9,3
468.74,267,10.21,Cl9,4
469.73,962,36.79,Cl9,5
470.73,147,5.62,Cl9,6
471.73,286,10.94,Cl9,7
472.73,57,2.18,Cl9,8
473.73,66,2.52,Cl9,9
474.73,3,0.11,Cl9,10
475.72,12,0.46,Cl9,11
NA,0,0,Cl9,12
NA,0,0,Cl9,13
NA,0,0,Cl9,14
NA,0,0,Cl10,-9
NA,0,0,Cl10,-8
NA,0,0,Cl10,-7
NA,0,0,Cl10,-6
NA,0,0,Cl10,-5
NA,0,0,Cl10,-4
495.7,496,19.82,Cl10,-3
496.71,72,2.88,Cl10,-2
497.7,1772,70.8,Cl10,-1
498.7,231,9.23,Cl10,0
499.7,2503,100,Cl10,1
500.7,353,14.1,Cl10,2
501.7,2208,88.21,Cl10,3
502.7,288,11.51,Cl10,4
503.69,1207,48.22,Cl10,5
504.7,165,6.59,Cl10,6
505.69,492,19.66,Cl10,7
506.69,63,2.52,Cl10,8
507.69,100,4,Cl10,9
508.69,18,0.72,Cl10,10
509.68,24,0.96,Cl10,11
510.69,4,0.16,Cl10,12
511.68,3,0.12,Cl10,13
513.68,1,0.04,Cl10,14
NA,0,0,Br1Cl1,-9
NA,0,0,Br1Cl1,-8
NA,0,0,Br1Cl1,-7
NA,0,0,Br1Cl1,-6
NA,0,0,Br1Cl1,-5
NA,0,0,Br1Cl1,-4
NA,0,0,Br1Cl1,-3
NA,0,0,Br1Cl1,-2
267.97,3351,76.28,Br1Cl1,-1
268.97,441,10.04,Br1Cl1,0
269.96,4393,100,Br1Cl1,1
270.97,571,13,Br1Cl1,2
271.96,1103,25.11,Br1Cl1,3
272.96,131,2.98,Br1Cl1,4
273.97,9,0.2,Br1Cl1,5
274.97,1,0.02,Br1Cl1,6
NA,0,0,Br1Cl1,7
NA,0,0,Br1Cl1,8
NA,0,0,Br1Cl1,9
NA,0,0,Br1Cl1,10
NA,0,0,Br1Cl1,11
NA,0,0,Br1Cl1,12
NA,0,0,Br1Cl1,13
NA,0,0,Br1Cl1,14
NA,0,0,Br1Cl2,-9
NA,0,0,Br1Cl2,-8
NA,0,0,Br1Cl2,-7
NA,0,0,Br1Cl2,-6
NA,0,0,Br1Cl2,-5
NA,0,0,Br1Cl2,-4
NA,0,0,Br1Cl2,-3
NA,0,0,Br1Cl2,-2
301.93,2579,62.46,Br1Cl2,-1
302.93,342,8.28,Br1Cl2,0
303.92,4129,100,Br1Cl2,1
304.93,533,12.91,Br1Cl2,2
305.92,1872,45.34,Br1Cl2,3
306.92,245,5.93,Br1Cl2,4
307.92,265,6.42,Br1Cl2,5
308.92,31,0.75,Br1Cl2,6
309.93,4,0.1,Br1Cl2,7
NA,0,0,Br1Cl2,8
NA,0,0,Br1Cl2,9
NA,0,0,Br1Cl2,10
NA,0,0,Br1Cl2,11
NA,0,0,Br1Cl2,12
NA,0,0,Br1Cl2,13
NA,0,0,Br1Cl2,14
NA,0,0,Br1Cl3,-9
NA,0,0,Br1Cl3,-8
NA,0,0,Br1Cl3,-7
NA,0,0,Br1Cl3,-6
NA,0,0,Br1Cl3,-5
NA,0,0,Br1Cl3,-4
NA,0,0,Br1Cl3,-3
NA,0,0,Br1Cl3,-2
335.89,1888,49.91,Br1Cl3,-1
336.89,251,6.63,Br1Cl3,0
337.89,3783,100,Br1Cl3,1
338.89,506,13.38,Br1Cl3,2
339.88,2481,65.58,Br1Cl3,3
340.89,303,8.01,Br1Cl3,4
341.88,652,17.23,Br1Cl3,5
342.88,83,2.19,Br1Cl3,6
343.88,44,1.16,Br1Cl3,7
344.88,9,0.24,Br1Cl3,8
NA,0,0,Br1Cl3,9
NA,0,0,Br1Cl3,10
NA,0,0,Br1Cl3,11
