"","spectrum_number","nominal_mz","subnominal_mz","intensity","filter_1"
"3838",11,345,344.98942,17.72,FALSE
"3839",11,346,NA,0,FALSE
"3840",11,347,346.91867,26.95,FALSE
"3841",11,348,NA,0,FALSE
"3842",11,349,NA,0,FALSE
"3843",11,350,NA,0,FALSE
"3844",11,351,350.91664,1.17,FALSE
"3845",11,352,351.84934,0.29,FALSE
"3846",11,353,352.94234,0.12,FALSE
"3847",11,354,NA,0,FALSE
"3848",11,355,355.03655,1.48,FALSE
"3849",11,356,356.03459,0.35,FALSE
"3850",11,357,357.03797,0.15,FALSE
"3851",11,358,NA,0,FALSE
"3852",11,359,NA,0,FALSE
"3853",11,360,NA,0,FALSE
"3854",11,361,NA,0,FALSE
"3855",11,362,NA,0,FALSE
"3856",11,363,NA,0,FALSE
"3857",11,364,NA,0,FALSE
"3858",11,365,NA,0,FALSE
"3859",11,366,NA,0,FALSE
"3860",11,367,366.98376,0.19,FALSE
"3861",11,368,367.97935,0.06,FALSE
"3862",11,369,369.00208,0.09,FALSE
"3863",11,370,NA,0,FALSE
"3864",11,371,NA,0,FALSE
"3865",11,372,NA,0,FALSE
"3866",11,373,NA,0,FALSE
"3867",11,374,NA,0,FALSE
"3868",11,375,NA,0,FALSE
"3869",11,376,NA,0,FALSE
"3870",11,377,NA,0,FALSE
"3871",11,378,NA,0,FALSE
"3872",11,379,NA,0,FALSE
"3873",11,380,NA,0,FALSE
"3874",11,381,381.00518,2,FALSE
"3875",11,382,382.00676,0.85,FALSE
"3876",11,383,383.01142,1.81,FALSE
"3877",11,384,384.00121,0.65,FALSE
"3878",11,385,384.9902,0.5,FALSE
"3879",11,386,NA,0,FALSE
"3880",11,387,NA,0,FALSE
"3881",11,388,NA,0,FALSE
"3882",11,389,NA,0,FALSE
"3883",11,390,NA,0,FALSE
"3884",11,391,NA,0,FALSE
"3885",11,392,NA,0,FALSE
"3886",11,393,NA,0,FALSE
"3887",11,394,NA,0,FALSE
"3888",11,395,NA,0,FALSE
"3889",11,396,NA,0,FALSE
"3890",11,397,397.03237,4.07,FALSE
"3891",11,398,398.03574,1.78,FALSE
"3892",11,399,399.04164,3.41,FALSE
"3893",11,400,400.04559,1.46,FALSE
"3894",11,401,401.03884,0.87,FALSE
"3895",11,402,402.13163,2.09,FALSE
"3896",11,403,NA,0,FALSE
"3897",11,404,NA,0,FALSE
"3898",11,405,NA,0,FALSE
"3899",11,406,NA,0,FALSE
"3900",11,407,NA,0,FALSE
"3901",11,408,NA,0,FALSE
"3902",11,409,NA,0,FALSE
"3903",11,410,NA,0,FALSE
"3904",11,411,NA,0,FALSE
"3905",11,412,NA,0,FALSE
"3906",11,413,413.0685,8.16,FALSE
"3907",11,414,414.07227,3.59,FALSE
"3908",11,415,415.06264,3.22,FALSE
"3909",11,416,416.05607,0.98,FALSE
"3910",11,417,417.04598,0.25,FALSE
"3911",11,418,NA,0,FALSE
"3912",11,419,NA,0,FALSE
"3913",11,420,NA,0,FALSE
"3914",11,421,NA,0,FALSE
"3915",11,422,NA,0,FALSE
"3916",11,423,NA,0,FALSE
"3917",11,424,NA,0,FALSE
"3918",11,425,NA,0,FALSE
"3919",11,426,NA,0,FALSE
"3920",11,427,NA,0,FALSE
"3921",11,428,NA,0,FALSE
"3922",11,429,429.10244,219.2,FALSE
"3923",11,430,430.09515,102.05,FALSE
"3924",11,431,431.08514,68.65,FALSE
"3925",11,432,432.0744,22.59,FALSE
"3926",11,433,433.06852,8.19,FALSE
"3927",11,434,434.06308,1.62,FALSE
"3928",11,435,435.05714,0.14,FALSE
