"theoretical_mz","theoretical_percent_intensity","distribution_name"
191.06,13.16,"Cl1"
192.05,34.55,"Cl1"
193.06,3.92,"Cl1"
194.06,0.17,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl1"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
224.02,100,"Cl2"
225.02,12.48,"Cl2"
226.01,63.63,"Cl2"
227.02,8.56,"Cl2"
228.01,9.58,"Cl2"
229.01,1.47,"Cl2"
230.02,0.12,"Cl2"
231.02,0.02,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl2"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
257.98,100,"Cl3"
258.98,14.11,"Cl3"
259.97,98.6,"Cl3"
260.98,12.13,"Cl3"
261.97,31.05,"Cl3"
262.97,4.67,"Cl3"
263.97,2.93,"Cl3"
264.97,0.21,"Cl3"
265.97,0.08,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl3"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
291.94,79.84,"Cl4"
292.94,11.22,"Cl4"
293.94,100,"Cl4"
294.94,12.6,"Cl4"
295.93,51.49,"Cl4"
296.94,6.67,"Cl4"
297.93,11.69,"Cl4"
298.93,1.32,"Cl4"
299.93,0.85,"Cl4"
300.93,0.06,"Cl4"
301.93,0.03,"Cl4"
NA,0,"Cl4"
